"M","D","É›","R"
2.9860000000000004e25,3.056866137913986e11,1.0e-10,1.4922847308337688e7
2.9860000000000004e25,3.582959823501277e11,1.0e-10,1.4915626085847616e7
2.9860000000000004e25,4.199595441095997e11,1.0e-10,1.4908419119521976e7
2.9860000000000004e25,4.922355465219763e11,1.0e-10,1.4902882025256753e7
2.9860000000000004e25,5.769504150060564e11,1.0e-10,1.4898060590445995e7
2.9860000000000004e25,6.762449069914958e11,1.0e-10,1.489387688139081e7
2.9860000000000004e25,7.92628209180043e11,1.0e-10,1.4890263418912888e7
2.9860000000000004e25,9.290413450697795e11,1.0e-10,1.4887159376710653e7
2.9860000000000004e25,1.0889314950598782e12,1.0e-10,1.4885380207389593e7
2.9860000000000004e25,1.276339107216255e12,1.0e-10,1.4882259057790041e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-10,1.4880367739975452e7
2.9860000000000004e25,1.4960000000000023e10,1.0e-12,1.5118657627627254e7
2.9860000000000004e25,1.753465037110095e10,1.0e-12,1.4881556704089046e7
2.9860000000000004e25,2.0552403986413616e10,1.0e-12,1.464877349755168e7
2.9860000000000004e25,2.4089519932311737e10,1.0e-12,1.4435584913820028e7
2.9860000000000004e25,2.8235381659141136e10,1.0e-12,1.4262655738443136e7
2.9860000000000004e25,3.3094755714414124e10,1.0e-12,1.4085721442170907e7
2.9860000000000004e25,3.879043920917388e10,1.0e-12,1.3955870683163404e7
2.9860000000000004e25,4.5466362919405464e10,1.0e-12,1.3869375682324171e7
2.9860000000000004e25,5.329122843832614e10,1.0e-12,1.3805936701014638e7
2.9860000000000004e25,6.246277129094356e10,1.0e-12,1.3759697306886315e7
2.9860000000000004e25,7.32127577404232e10,1.0e-12,1.3721199010044336e7
2.9860000000000004e25,8.581284155631276e10,1.0e-12,1.3690502636790276e7
2.9860000000000004e25,1.0058142874603061e11,1.0e-12,1.3662965429574251e7
2.9860000000000004e25,1.1789172372242242e11,1.0e-12,1.363961573305726e7
2.9860000000000004e25,1.3818116023523352e11,1.0e-12,1.361902507956326e7
2.9860000000000004e25,1.6196245538755908e11,1.0e-12,1.3600729668542743e7
2.9860000000000004e25,1.8983656607392163e11,1.0e-12,1.3584403509035707e7
2.9860000000000004e25,2.2250787525111063e11,1.0e-12,1.3569798543781042e7
2.9860000000000004e25,2.608019918011185e11,1.0e-12,1.3556718037709594e7
2.9860000000000004e25,3.056866137913986e11,1.0e-12,1.3544997094519436e7
2.9860000000000004e25,3.582959823501277e11,1.0e-12,1.3534494578182697e7
2.9860000000000004e25,4.199595441095997e11,1.0e-12,1.352508550965786e7
2.9860000000000004e25,4.922355465219763e11,1.0e-12,1.3517361519768834e7
2.9860000000000004e25,5.769504150060564e11,1.0e-12,1.3509124307960272e7
2.9860000000000004e25,6.762449069914958e11,1.0e-12,1.3502384943827987e7
2.9860000000000004e25,7.92628209180043e11,1.0e-12,1.3496370743259788e7
2.9860000000000004e25,9.290413450697795e11,1.0e-12,1.3490997119680047e7
2.9860000000000004e25,1.0889314950598782e12,1.0e-12,1.3486900373227894e7
2.9860000000000004e25,1.276339107216255e12,1.0e-12,1.3481928773485124e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-12,1.3478130456075072e7
2.9860000000000004e25,1.4960000000000023e10,1.0e-14,1.5101197627842426e7
2.9860000000000004e25,1.753465037110095e10,1.0e-14,1.4852038840427995e7
2.9860000000000004e25,2.0552403986413616e10,1.0e-14,1.4598453038752079e7
2.9860000000000004e25,2.4089519932311737e10,1.0e-14,1.4377883563488722e7
2.9860000000000004e25,2.8235381659141136e10,1.0e-14,1.408045910577476e7
2.9860000000000004e25,3.3094755714414124e10,1.0e-14,1.3853785140901804e7
2.9860000000000004e25,3.879043920917388e10,1.0e-14,1.3660411675319076e7
2.9860000000000004e25,4.5466362919405464e10,1.0e-14,1.3504421674519777e7
2.9860000000000004e25,5.329122843832614e10,1.0e-14,1.3363846953421365e7
2.9860000000000004e25,6.246277129094356e10,1.0e-14,1.323954689143598e7
2.9860000000000004e25,7.32127577404232e10,1.0e-14,1.3126006045848131e7
2.9860000000000004e25,8.581284155631276e10,1.0e-14,1.302870677319169e7
2.9860000000000004e25,1.0058142874603061e11,1.0e-14,1.2948971570320427e7
2.9860000000000004e25,1.1789172372242242e11,1.0e-14,1.289204195369035e7
2.9860000000000004e25,1.3818116023523352e11,1.0e-14,1.2846577144496143e7
2.9860000000000004e25,1.6196245538755908e11,1.0e-14,1.2811672826707363e7
2.9860000000000004e25,1.8983656607392163e11,1.0e-14,1.278652020059526e7
2.9860000000000004e25,2.2250787525111063e11,1.0e-14,1.2764095253944397e7
2.9860000000000004e25,2.608019918011185e11,1.0e-14,1.274349272031337e7
2.9860000000000004e25,3.056866137913986e11,1.0e-14,1.2726739351078868e7
2.9860000000000004e25,3.582959823501277e11,1.0e-14,1.2713246366649866e7
2.9860000000000004e25,4.199595441095997e11,1.0e-14,1.2700616355374455e7
2.9860000000000004e25,4.922355465219763e11,1.0e-14,1.268861646656692e7
2.9860000000000004e25,5.769504150060564e11,1.0e-14,1.2679148472562432e7
2.9860000000000004e25,6.762449069914958e11,1.0e-14,1.2669314095132053e7
2.9860000000000004e25,7.92628209180043e11,1.0e-14,1.2661764505654573e7
2.9860000000000004e25,9.290413450697795e11,1.0e-14,1.2653645144805312e7
2.9860000000000004e25,1.0889314950598782e12,1.0e-14,1.2646944747522473e7
2.9860000000000004e25,1.276339107216255e12,1.0e-14,1.2640904885858297e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-14,1.2636152831047773e7
2.9860000000000004e25,1.4960000000000023e10,1.0e-18,1.510102750428021e7
2.9860000000000004e25,1.753465037110095e10,1.0e-18,1.4852721235498786e7
2.9860000000000004e25,2.0552403986413616e10,1.0e-18,1.459694948861003e7
2.9860000000000004e25,2.4089519932311737e10,1.0e-18,1.4376068278551102e7
2.9860000000000004e25,2.8235381659141136e10,1.0e-18,1.4077558451518416e7
2.9860000000000004e25,3.3094755714414124e10,1.0e-18,1.385181921582669e7
2.9860000000000004e25,3.879043920917388e10,1.0e-18,1.3655394455850124e7
2.9860000000000004e25,4.5466362919405464e10,1.0e-18,1.3495560993120074e7
2.9860000000000004e25,5.329122843832614e10,1.0e-18,1.3362344739794731e7
2.9860000000000004e25,6.246277129094356e10,1.0e-18,1.3214785834640265e7
2.9860000000000004e25,7.32127577404232e10,1.0e-18,1.3089663281068206e7
2.9860000000000004e25,8.581284155631276e10,1.0e-18,1.2964435707084835e7
2.9860000000000004e25,1.0058142874603061e11,1.0e-18,1.2865051232777536e7
2.9860000000000004e25,1.1789172372242242e11,1.0e-18,1.2767639336422086e7
2.9860000000000004e25,1.3818116023523352e11,1.0e-18,1.2689587786570191e7
2.9860000000000004e25,1.6196245538755908e11,1.0e-18,1.2614767633989453e7
2.9860000000000004e25,1.8983656607392163e11,1.0e-18,1.254492098197341e7
2.9860000000000004e25,2.2250787525111063e11,1.0e-18,1.2467362220205367e7
2.9860000000000004e25,2.608019918011185e11,1.0e-18,1.2407618911921978e7
2.9860000000000004e25,3.056866137913986e11,1.0e-18,1.235055813857913e7
2.9860000000000004e25,3.582959823501277e11,1.0e-18,1.1924043161526322e7
2.9860000000000004e25,4.199595441095997e11,1.0e-18,1.1858826436512172e7
2.9860000000000004e25,4.922355465219763e11,1.0e-18,1.1813120698139071e7
2.9860000000000004e25,5.769504150060564e11,1.0e-18,1.1775054363079369e7
2.9860000000000004e25,6.762449069914958e11,1.0e-18,1.173251016677171e7
2.9860000000000004e25,7.92628209180043e11,1.0e-18,1.1688220540732145e7
2.9860000000000004e25,9.290413450697795e11,1.0e-18,1.1645511923328042e7
2.9860000000000004e25,1.0889314950598782e12,1.0e-18,1.1552104613261763e7
2.9860000000000004e25,1.276339107216255e12,1.0e-18,1.1515345063574612e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-18,1.1503295753397048e7
5.972000000000001e25,1.4960000000000023e10,1.0e-10,1.6576427424043417e7
5.972000000000001e25,1.753465037110095e10,1.0e-10,1.6518782147958875e7
5.972000000000001e25,2.0552403986413616e10,1.0e-10,1.6475977539047599e7
5.972000000000001e25,2.4089519932311737e10,1.0e-10,1.644097865536809e7
5.972000000000001e25,2.8235381659141136e10,1.0e-10,1.6410056084305048e7
5.972000000000001e25,3.3094755714414124e10,1.0e-10,1.6385236102029681e7
5.972000000000001e25,3.879043920917388e10,1.0e-10,1.6361421654552221e7
5.972000000000001e25,4.5466362919405464e10,1.0e-10,1.6342400604762137e7
5.972000000000001e25,5.329122843832614e10,1.0e-10,1.6323505959630013e7
5.972000000000001e25,6.246277129094356e10,1.0e-10,1.6308735622867942e7
5.972000000000001e25,7.32127577404232e10,1.0e-10,1.629358512172103e7
5.972000000000001e25,8.581284155631276e10,1.0e-10,1.628212506633997e7
5.972000000000001e25,1.0058142874603061e11,1.0e-10,1.6269932244107127e7
5.972000000000001e25,1.1789172372242242e11,1.0e-10,1.6261111479967833e7
5.972000000000001e25,1.3818116023523352e11,1.0e-10,1.6252346314869821e7
5.972000000000001e25,1.6196245538755908e11,1.0e-10,1.624458383333683e7
5.972000000000001e25,1.8983656607392163e11,1.0e-10,1.6237720915779471e7
5.972000000000001e25,2.2250787525111063e11,1.0e-10,1.6231663946717978e7
5.972000000000001e25,2.608019918011185e11,1.0e-10,1.6225273383408785e7
5.972000000000001e25,3.056866137913986e11,1.0e-10,1.6220586906954646e7
5.972000000000001e25,3.582959823501277e11,1.0e-10,1.6216481131598353e7
5.972000000000001e25,4.199595441095997e11,1.0e-10,1.6213948286384344e7
5.972000000000001e25,4.922355465219763e11,1.0e-10,1.6209772180616856e7
5.972000000000001e25,5.769504150060564e11,1.0e-10,1.6208119415953755e7
5.972000000000001e25,6.762449069914958e11,1.0e-10,1.6204731200873852e7
5.972000000000001e25,7.92628209180043e11,1.0e-10,1.6202727734565735e7
5.972000000000001e25,9.290413450697795e11,1.0e-10,1.6201020796477795e7
5.972000000000001e25,1.0889314950598782e12,1.0e-10,1.6200627326339483e7
5.972000000000001e25,1.276339107216255e12,1.0e-10,1.61994155523628e7
5.972000000000001e25,1.4960000000000024e12,1.0e-10,1.6198408116742969e7
5.972000000000001e25,1.4960000000000023e10,1.0e-12,1.6361379836469889e7
5.972000000000001e25,1.753465037110095e10,1.0e-12,1.6202843684703112e7
5.972000000000001e25,2.0552403986413616e10,1.0e-12,1.6067619213014841e7
5.972000000000001e25,2.4089519932311737e10,1.0e-12,1.5940779266834259e7
5.972000000000001e25,2.8235381659141136e10,1.0e-12,1.5838995955258608e7
5.972000000000001e25,3.3094755714414124e10,1.0e-12,1.5721863506644964e7
5.972000000000001e25,3.879043920917388e10,1.0e-12,1.5635573794573545e7
5.972000000000001e25,4.5466362919405464e10,1.0e-12,1.5577826349310577e7
5.972000000000001e25,5.329122843832614e10,1.0e-12,1.5533464492037892e7
5.972000000000001e25,6.246277129094356e10,1.0e-12,1.5501351056039333e7
5.972000000000001e25,7.32127577404232e10,1.0e-12,1.547572417485714e7
5.972000000000001e25,8.581284155631276e10,1.0e-12,1.5456850438766181e7
5.972000000000001e25,1.0058142874603061e11,1.0e-12,1.543952872377634e7
5.972000000000001e25,1.1789172372242242e11,1.0e-12,1.542355706755817e7
5.972000000000001e25,1.3818116023523352e11,1.0e-12,1.5411235939845443e7
5.972000000000001e25,1.6196245538755908e11,1.0e-12,1.5399544934600592e7
5.972000000000001e25,1.8983656607392163e11,1.0e-12,1.5388231242507696e7
5.972000000000001e25,2.2250787525111063e11,1.0e-12,1.5379819155082107e7
5.972000000000001e25,2.608019918011185e11,1.0e-12,1.5371482150122523e7
5.972000000000001e25,3.056866137913986e11,1.0e-12,1.5363118533656001e7
5.972000000000001e25,3.582959823501277e11,1.0e-12,1.53564171859622e7
5.972000000000001e25,4.199595441095997e11,1.0e-12,1.5350391580462456e7
5.972000000000001e25,4.922355465219763e11,1.0e-12,1.5345940805926919e7
5.972000000000001e25,5.769504150060564e11,1.0e-12,1.5341124123170972e7
5.972000000000001e25,6.762449069914958e11,1.0e-12,1.533583983822167e7
5.972000000000001e25,7.92628209180043e11,1.0e-12,1.5331977368071675e7
5.972000000000001e25,9.290413450697795e11,1.0e-12,1.5329503448337317e7
5.972000000000001e25,1.0889314950598782e12,1.0e-12,1.5326436472162604e7
5.972000000000001e25,1.276339107216255e12,1.0e-12,1.5323709743112326e7
5.972000000000001e25,1.4960000000000024e12,1.0e-12,1.5320319627210498e7
5.972000000000001e25,1.4960000000000023e10,1.0e-14,1.6351375810682774e7
5.972000000000001e25,1.753465037110095e10,1.0e-14,1.6195774527966976e7
5.972000000000001e25,2.0552403986413616e10,1.0e-14,1.6036351642772555e7
5.972000000000001e25,2.4089519932311737e10,1.0e-14,1.58960419675312e7
5.972000000000001e25,2.8235381659141136e10,1.0e-14,1.570447288686037e7
5.972000000000001e25,3.3094755714414124e10,1.0e-14,1.5538280224382877e7
5.972000000000001e25,3.879043920917388e10,1.0e-14,1.5396421884179115e7
5.972000000000001e25,4.5466362919405464e10,1.0e-14,1.5283186120510101e7
5.972000000000001e25,5.329122843832614e10,1.0e-14,1.517117068451643e7
5.972000000000001e25,6.246277129094356e10,1.0e-14,1.5069303736776114e7
5.972000000000001e25,7.32127577404232e10,1.0e-14,1.498050113812089e7
5.972000000000001e25,8.581284155631276e10,1.0e-14,1.490058203072846e7
5.972000000000001e25,1.0058142874603061e11,1.0e-14,1.4840575933814049e7
5.972000000000001e25,1.1789172372242242e11,1.0e-14,1.480036214518547e7
5.972000000000001e25,1.3818116023523352e11,1.0e-14,1.476438243739307e7
5.972000000000001e25,1.6196245538755908e11,1.0e-14,1.4739842826351523e7
5.972000000000001e25,1.8983656607392163e11,1.0e-14,1.471959432080388e7
5.972000000000001e25,2.2250787525111063e11,1.0e-14,1.4705611874729395e7
5.972000000000001e25,2.608019918011185e11,1.0e-14,1.4692992317974567e7
5.972000000000001e25,3.056866137913986e11,1.0e-14,1.4682121517390013e7
5.972000000000001e25,3.582959823501277e11,1.0e-14,1.4672636415988207e7
5.972000000000001e25,4.199595441095997e11,1.0e-14,1.4663337595134974e7
5.972000000000001e25,4.922355465219763e11,1.0e-14,1.4656755048811436e7
5.972000000000001e25,5.769504150060564e11,1.0e-14,1.4650040870569646e7
5.972000000000001e25,6.762449069914958e11,1.0e-14,1.4644003384932876e7
5.972000000000001e25,7.92628209180043e11,1.0e-14,1.4638567984640598e7
5.972000000000001e25,9.290413450697795e11,1.0e-14,1.4633670516952872e7
5.972000000000001e25,1.0889314950598782e12,1.0e-14,1.4628356769263744e7
5.972000000000001e25,1.276339107216255e12,1.0e-14,1.462438120020926e7
5.972000000000001e25,1.4960000000000024e12,1.0e-14,1.4621701991707087e7
5.972000000000001e25,1.4960000000000023e10,1.0e-18,1.6350072797253728e7
5.972000000000001e25,1.753465037110095e10,1.0e-18,1.619560440440476e7
5.972000000000001e25,2.0552403986413616e10,1.0e-18,1.6036003792360425e7
5.972000000000001e25,2.4089519932311737e10,1.0e-18,1.5896036680870224e7
5.972000000000001e25,2.8235381659141136e10,1.0e-18,1.5703242104664445e7
5.972000000000001e25,3.3094755714414124e10,1.0e-18,1.5536504856705666e7
5.972000000000001e25,3.879043920917388e10,1.0e-18,1.5392505240604281e7
5.972000000000001e25,4.5466362919405464e10,1.0e-18,1.5277438035011292e7
5.972000000000001e25,5.329122843832614e10,1.0e-18,1.5159301952421665e7
5.972000000000001e25,6.246277129094356e10,1.0e-18,1.5047313127934933e7
5.972000000000001e25,7.32127577404232e10,1.0e-18,1.4941503875523806e7
5.972000000000001e25,8.581284155631276e10,1.0e-18,1.4843207621768117e7
5.972000000000001e25,1.0058142874603061e11,1.0e-18,1.4766702390551567e7
5.972000000000001e25,1.1789172372242242e11,1.0e-18,1.4687790718778968e7
5.972000000000001e25,1.3818116023523352e11,1.0e-18,1.4626401773914695e7
5.972000000000001e25,1.6196245538755908e11,1.0e-18,1.4568479453034699e7
5.972000000000001e25,1.8983656607392163e11,1.0e-18,1.4509122962012887e7
5.972000000000001e25,2.2250787525111063e11,1.0e-18,1.4444586731247604e7
5.972000000000001e25,2.608019918011185e11,1.0e-18,1.4392845883265138e7
5.972000000000001e25,3.056866137913986e11,1.0e-18,1.4345535375982523e7
5.972000000000001e25,3.582959823501277e11,1.0e-18,1.3983194998323917e7
5.972000000000001e25,4.199595441095997e11,1.0e-18,1.3927708580739796e7
5.972000000000001e25,4.922355465219763e11,1.0e-18,1.3889680262118578e7
5.972000000000001e25,5.769504150060564e11,1.0e-18,1.3862554582849145e7
5.972000000000001e25,6.762449069914958e11,1.0e-18,1.3829348174244165e7
5.972000000000001e25,7.92628209180043e11,1.0e-18,1.3795819101117551e7
5.972000000000001e25,9.290413450697795e11,1.0e-18,1.3758379086881876e7
5.972000000000001e25,1.0889314950598782e12,1.0e-18,1.3729068412810564e7
5.972000000000001e25,1.276339107216255e12,1.0e-18,1.3627709934934974e7
5.972000000000001e25,1.4960000000000024e12,1.0e-18,1.3620194085046649e7
